id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45786328,Home in San Diego · ★4.92 · 5 bedrooms · 5 beds · 3 baths,14645243,RentalWithAView,,Midtown,32.73719,-117.17361,Entire home/apt,1192,1,25,2023-03-03,0.81,13,286,6,"STR-00678L, 634261"
45786883,Condo in San Diego · ★4.63 · 1 bedroom · 2 beds · 1 bath,22012010,Edgar,,Mission Bay,32.78293,-117.25242,Entire home/apt,181,31,56,2023-02-06,1.71,45,265,11,
45787229,Bungalow in San Diego · 2 bedrooms · 2 beds · 3 baths,18106277,Imogen,,La Jolla,32.84119,-117.27628,Entire home/apt,250,31,2,2023-02-24,0.07,1,174,1,
45787487,Rental unit in San Diego · ★4.86 · 2 bedrooms · 3 beds · 1 bath,47928015,Doug,,Mission Bay,32.78922,-117.25426,Entire home/apt,251,3,138,2023-06-22,4.20,32,304,43,"STR-02848L, 78520"
45788527,Rental unit in San Diego · ★4.73 · 1 bedroom · 1 bed · 1 bath,7805452,Mark,,Old Town,32.74636,-117.1915,Entire home/apt,115,3,80,2023-06-05,2.81,13,17,29,Exempt
45802658,Rental unit in San Diego · ★4.59 · Studio · 1 bed · 1 bath,22012010,Edgar,,Pacific Beach,32.80298,-117.25763,Entire home/apt,132,1,78,2023-06-06,2.45,45,339,34,"STR-03319L, 635424"
45816176,Bungalow in San Diego · ★4.74 · Studio · 1 bed · 1 bath,64369150,Porter,,Loma Portal,32.75031784990765,-117.23823815947316,Entire home/apt,111,2,192,2023-06-05,6.23,7,141,62,"STR-03868L, 636630"
45831049,Guest suite in La Jolla · ★4.97 · Studio · 1 bed · 1 bath,54560649,Phil,,La Jolla,32.846693180839885,-117.25100750291575,Entire home/apt,296,14,33,2023-06-11,1.06,1,74,14,"STR-07559L, 643462"
45831887,Home in San Diego · ★4.53 · 1 bedroom · 2 beds · 1 private bath,47352531,Lucy E,,Amphitheater And Water Park,32.58252,-117.00462,Private room,99,2,43,2023-06-13,1.32,2,79,11,
45848351,Rental unit in San Diego · ★4.64 · 2 bedrooms · 4 beds · 1 bath,130057248,Cecilia,,Marina,32.7119,-117.16804,Entire home/apt,119,31,11,2023-05-09,0.36,1,137,5,
45848805,Home in San Diego · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,68425727,Israel,,City Heights East,32.75629,-117.0827,Private room,70,31,6,2022-10-31,0.19,4,31,5,
45859951,Townhouse in San Diego · ★4.89 · 2 bedrooms · 3 beds · 2 baths,43349223,Evan,,Old Town,32.7454,-117.18602,Entire home/apt,327,2,161,2023-06-18,4.96,72,158,51,"STR-02978L, 634161"
45862532,Farm stay in San Diego · ★4.95 · 2 bedrooms · 3 beds · 1 bath,11612667,Trevor & Heidi,,Encanto,32.71842,-117.05312,Entire home/apt,201,2,135,2023-06-19,4.12,2,50,44,"STR-01614L, 637302"
45865142,Condo in San Diego · ★4.64 · 1 bedroom · 2 beds · 1 bath,4656446,Air Concierge,,Mission Bay,32.76757,-117.251244,Entire home/apt,283,3,45,2023-06-17,1.42,36,36,18,"STR-00939L, 519121"
45865908,Condo in San Diego · ★4.96 · 1 bedroom · 2 beds · 2 baths,25109092,Jasmine,,Del Cerro,32.7822,-117.07864,Private room,85,2,23,2023-03-06,0.71,2,0,5,
45868219,Home in Chula Vista · ★4.91 · 4 bedrooms · 6 beds · 2.5 baths,68008964,Liliana,,Terra Nova,32.64404,-117.05195,Entire home/apt,542,3,81,2023-06-20,2.57,1,326,26,STR22-0117
45877385,Home in Chula Vista · ★4.88 · 3 bedrooms · 4 beds · 2.5 baths,371796506,Luis Carlos,,Estlake Greens,32.63199,-116.96261,Entire home/apt,383,30,16,2023-04-14,0.50,1,68,4,Exempt
45879618,Home in San Diego · ★4.95 · 4 bedrooms · 4 beds · 3 baths,371940449,John,,Mission Bay,32.78537,-117.23466,Entire home/apt,539,2,111,2023-06-19,3.49,1,286,37,"STR-01299L, 644595"
45881478,Rental unit in San Diego · ★4.88 · 1 bedroom · 2 beds · 1 bath,27650600,Pedro & Natalie,,North Hills,32.75474,-117.13044,Entire home/apt,186,1,170,2023-06-19,5.21,10,359,56,"STR-01978L, 636746"
45882235,Rental unit in San Diego · ★4.76 · 1 bedroom · 2 beds · 1 bath,27650600,Pedro & Natalie,,North Hills,32.75489,-117.13145,Entire home/apt,193,1,177,2023-06-18,5.45,10,81,66,"STR-01979L, 636709"
45896801,Rental unit in San Diego · ★4.78 · 2 bedrooms · 2 beds · 2 baths,206500947,STRIV Rentals,,East Village,32.71373,-117.15624,Private room,177,31,172,2023-02-21,5.36,17,67,26,
45899122,Townhouse in San Diego · ★5.0 · 3 bedrooms · 8 beds · 2.5 baths,85917956,Paris,,La Jolla,32.83189,-117.27757,Entire home/apt,903,2,19,2023-06-18,0.75,2,303,4,"STR-05543L, 606309"
45900791,Home in San Diego · ★4.67 · 1 bedroom · 1 bed · 1 private bath,98511624,Ray,,Mira Mesa,32.90949,-117.16228,Private room,67,4,3,2023-06-22,0.10,3,337,2,
45901108,Home in San Diego · ★4.83 · 3 bedrooms · 5 beds · 2 baths,50941575,Austin,,Rolando,32.76438,-117.052,Entire home/apt,335,3,89,2023-06-05,2.74,2,75,18,"STR-05066L, 645932"
45901112,Home in Chula Vista · ★4.94 · 1 bedroom · 1 bed · 1 private bath,230572511,Jesus & Gloria,,Eastlake Trails,32.64354,-116.94723,Private room,60,31,18,2022-04-22,0.58,1,358,0,
45908488,Rental unit in San Diego · 1 bedroom · 1 shared bath,3547828,Blair,,East Village,32.71703,-117.15127,Private room,40,31,2,2022-01-16,0.09,20,82,0,
45910397,Condo in San Diego · 2 bedrooms · 2 beds · 1 bath,372185800,Vlad,,Core,32.7155,-117.1551,Entire home/apt,145,31,1,2023-01-02,0.17,2,304,1,
45921290,Home in San Diego · ★4.88 · 4 bedrooms · 5 beds · 2 baths,349305737,Peter,,Mira Mesa,32.92968,-117.14711,Entire home/apt,298,1,129,2023-06-14,4.10,1,294,45,"STR-02764L, 643662"
45935886,Guesthouse in San Diego · ★4.93 · 1 bedroom · 1 bed · 1 bath,182231957,Denelle,,Bay Ho,32.83211,-117.22442,Entire home/apt,146,3,60,2023-06-10,1.87,1,120,29,"STR-00744L, 636748"
45938137,Townhouse in San Diego · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,371444913,Lucero,,Bay Ho,32.80908,-117.21081,Entire home/apt,335,31,3,2023-06-02,0.10,2,323,1,
45942034,Guesthouse in San Diego · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,215463771,Curtis&Veronica,,Alta Vista,32.69637,-117.07259,Private room,62,1,86,2023-06-20,2.77,2,297,34,"STR-05829L, 646522"
45943046,Condo in San Diego · 2 bedrooms · 2 beds · 1 bath,63773128,Kristen,,East Village,32.71562,-117.15322,Entire home/apt,150,31,2,2022-08-15,0.11,1,144,1,
45955988,Condo in San Diego · ★4.97 · 1 bedroom · 2 beds · 1 bath,130938359,Niall,,Ocean Beach,32.74534,-117.25271,Entire home/apt,220,3,30,2023-05-30,1.13,1,38,12,"STR-01754L, 644775"
